启运港,目的港,航线ID,共舱船公司,正向路径,反向路径,中间时间
青岛,明日数航船期查询欧洲欧基港荷兰鹿特丹,60f12f611b3d221a58a829148ef4f10f,COSCO(AEU3) | OOCL(LL2) | EMC(NE3) | CMA(FAL2),天津(TIANJIN)[2天] → 大连(DALIAN)[2天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[7天] → 新加坡(SINGAPORE),鹿特丹(ROTTERDAM)[3天] → 汉堡(HAMBURG)[4天] → 安特卫普(ANTWERP)[41天] → 上海(SHANGHAI)[4天] → 天津(TIANJIN),31天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉北,0a6cc5cbb437b535d1d0131e7b6f6c57,外运集运(NCP) | COSCO(NCP),天津(TIANJIN)[2天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI),厦门(XIAMEN)[5天] → 马尼拉北(MANILA N)[10天] → 天津(TIANJIN),1天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉北,7f0a2ab2babc0cca0193bd9ab7c1ea33,COSCO(BMX) | CNC(BMXCNC),大连(DALIAN)[2天] → 天津(TIANJIN)[4天] → 青岛(QINGDAO)[4天] → 厦门(XIAMEN)[2天] → 汕头(SHANTOU)[1天] → 深圳蛇口(SHEKOU)[1天] → 广州南沙(NANSHA),马尼拉北(MANILA N)[1天] → 马尼拉南(MANILA S)[4天] → 达沃(DAVAO)[8天] → 釜山新港(BUSAN NEW PORT)[1天] → 马山(MASAN)[2天] → 大连(DALIAN),5天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉北,d5f78354542b206f37b2d748c81f0cc7,SITC(CPX6),天津(TIANJIN)[2天] → 烟台港(YANTAIGANG)[1天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[1天] → 温州港(WENZHOUGANG)[2天] → 厦门(XIAMEN),苏比克湾(SUBIC BAY)[2天] → 马尼拉北(MANILA N)[4天] → 宿务(CEBU)[3天] → 达沃(DAVAO)[8天] → 天津(TIANJIN),2天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉北,a4679483f420298bdaf99d9177d7e0d0,MAERSK(PHI 3),青岛(QINGDAO)[1天] → 仁川(INCHON)[3天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO),马尼拉北(MANILA N)[1天] → 马尼拉南(MANILA S)[8天] → 青岛(QINGDAO),6天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉北,ca0760385d2ed8ecb3c963702f431491,亚海航运(NPX) | ZIM(NPX),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO),马尼拉北(MANILA N)[6天] → 青岛(QINGDAO),5天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉南,fbe0ef72ddbd9aca7259f892102fb207,亚海航运(NPX2),日照港(RIZHAO)[1天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI),马尼拉南(MANILA S)[7天] → 日照港(RIZHAO),4天
青岛,明日数航船期查询东南亚印尼/菲律宾菲律宾马尼拉南,738ed24ac0cb05fc8453aaac5432ffea,SITC(CPX1),大连(DALIAN)[1天] → 天津(TIANJIN)[2天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[3天] → 温州港(WENZHOUGANG),马尼拉南(MANILA S)[6天] → 达沃(DAVAO)[4天] → 卡加延(CAGAYAN)[4天] → 上海(SHANGHAI)[3天] → 大连(DALIAN),3天
青岛,明日数航船期查询中东印巴红海中东沙特阿拉伯达曼,10a020e86f3bc14ecb9a5b02f51b4ab6,MSC(CLANGA),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[4天] → 广州南沙(NANSHA)[5天] → 新加坡(SINGAPORE)[9天] → 蒙德拉(MUNDRA),达曼(DAMMAM)[4天] → 哈马德港(HAMAD PORT)[1天] → 巴林(BAHRAIN)[10天] → 科伦坡(COLOMBO)[13天] → 青岛(QINGDAO),6天
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,2eda48fc46506cb911e503a5829cf334,嘉华航运(EMX),,,
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,fb1859ebd7be4bf8cb442eb598dfa6aa,PIL(RS2) | MARIANA(RS2),青岛(QINGDAO)[3天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[3天] → 广州南沙(NANSHA)[1天] → 深圳蛇口(SHEKOU)[5天] → 新加坡(SINGAPORE)[9天] → 吉布提(DJIBOUTI),吉达(JEDDAH)[2天] → 亚喀巴(AQABAH)[2天] → 苏科纳(SOKHNA)[5天] → 吉布提(DJIBOUTI)[12天] → 新加坡(SINGAPORE)[8天] → 青岛(QINGDAO),3天
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,17d23f888b04450cf4b53e4dfb620a69,可达利(FMS) | 中联航运(AEM) | VOLTA(5CX) | PEAK(CMS) | UGL(AEM) | BLPL(FMS) | ECCLINE(AEM) | GFS(FMS) | SLS(5CX),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[3天] → 广州南沙(NANSHA)[19天] → 吉达(JEDDAH)[5天] → 亚历山大(ALEXANDRIA),阿利亚加(IZMIR--ALIAGA)[3天] → 伊斯坦布尔(ISTANBUL)[4天] → 梅尔辛(MERSIN)[5天] → 吉达(JEDDAH)[15天] → 巴生西(PORT KELANG W)[9天] → 青岛(QINGDAO),2天
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,92fb6facca4f84b4d25c8832e6c45042,WHL(FM1),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[3天] → 广州南沙(NANSHA)[1天] → 深圳蛇口(SHEKOU)[5天] → 巴生北(PORT KELANG N)[11天] → 吉达(JEDDAH),亚历山大新港(EL DEKHEILA)[3天] → 艾维亚普(IZMIT--EVYAP)[1天] → 伊斯坦布尔(ISTANBUL)[4天] → 梅尔辛(MERSIN)[5天] → 吉达(JEDDAH)[12天] → 巴生北(PORT KELANG N)[7天] → 青岛(QINGDAO),7天
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,5ef3887702f8a558421d13e9afa650d2,海杰航运(MEDW),,,
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,38603dbac86427be875c8dfd9fdc2f58,吉航海运(CRS1),,,
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,8070052431cd8609edd569a36a6455ab,CMA(REX2),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[4天] → 深圳蛇口(SHEKOU)[1天] → 广州南沙(NANSHA)[4天] → 新加坡(SINGAPORE),吉布提(DJIBOUTI)[4天] → 吉达(JEDDAH)[3天] → 苏科纳(SOKHNA)[4天] → 亚喀巴(AQABAH)[3天] → 吉达(JEDDAH)[23天] → 青岛(QINGDAO),12天
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,b20d83afafc824cc128788284ae8b15b,安福航运,,,
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,73b7a64f42d19e4f3fe2f7ee734f4815,OOCL(RS2) | COSCO(RES1) | 辰鑫航运(CXREX),青岛(QINGDAO)[3天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[5天] → 广州南沙(NANSHA),吉达(JEDDAH)[4天] → 苏科纳(SOKHNA)[25天] → 青岛(QINGDAO),10天
青岛,明日数航船期查询中东印巴红海红海沙特阿拉伯吉达,07eba23cf686ee216eb57d2eaf41a983,EMC(RCS) | RCL(RCR) | TSL(RCX) | GFS(RCS) | 中联航运(LHT),上海(SHANGHAI)[2天] → 青岛(QINGDAO)[5天] → 广州南沙(NANSHA)[2天] → 深圳蛇口(SHEKOU)[18天] → 吉达(JEDDAH),苏科纳(SOKHNA)[2天] → 亚喀巴(AQABAH)[3天] → 吉达(JEDDAH)[21天] → 上海(SHANGHAI),3天
青岛,明日数航船期查询东南亚新马越泰新加坡新加坡,4547b4f89770f49eaf3640e098a43edd,HPL(SA1) | COSCO(ZAX3) | EMC(FAX) | ONE(SAC) | OOCL(SAF3) | PIL(FAX) | ZIM(SA1),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[7天] → 新加坡(SINGAPORE)[15天] → 德班(DURBAN),新加坡(SINGAPORE)[4天] → 钦州(QINZHOU)[4天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO),19天
青岛,明日数航船期查询东南亚新马越泰泰国林查班,a3392fa61e5c75214ebbd7a6131860c4,泛洋(CVT) | 外运集运(CVTS) | 亚海航运(CVT2) | 森罗商船(CVT),仁川(INCHON)[2天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[6天] → 胡志明SP ITC港(HOCHIMINH--SP ITC),林查班(LAEM CHABANG)[5天] → 深圳蛇口(SHEKOU)[4天] → 仁川(INCHON),2天
青岛,明日数航船期查询东南亚新马越泰泰国林查班,cdc3755cc59bb5fef6d2e4ba4f4a870e,ONE(CTP) | 南星海运(CTP) | RCL(RLM),青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[3天] → 上海(SHANGHAI)[6天] → 林查班(LAEM CHABANG),盖梅港(CAI MEP)[3天] → 马尼拉北(MANILA N)[3天] → 苏比克湾(SUBIC BAY)[6天] → 青岛(QINGDAO),4天
