Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degC)
2023-03-15 16:03:29 - 2023-03-15 16:16:07,68.629,Swimming,0.3,757.905,,,0,1,0,0,0,120.024,120.024,5.898,130,30,9.8
2023-03-15 16:23:49 - 2023-03-15 16:35:24,65.507,Swimming,0.3,694.521,,,0,1,0,0,0,127.629,127.629,6.122,121,31,9.35
2023-03-17 14:37:46 - 2023-03-17 14:49:06,64.651,Swimming,0.3,680.017,,,0,1,0,0,0,128.458,128.458,6.117,120,43,8.01
2023-03-17 14:56:19 - 2023-03-17 15:08:00,68.548,Swimming,0.3,700.399,,,0,0,1,0,0,141.65,141.65,6.256,129,43,8.05
2023-03-19 19:35:58 - 2023-03-19 19:48:30,67.663,Swimming,0.3,752.49,,,0,1,0,0,0,130.383,130.383,5.87,123,,
2023-03-19 19:52:33 - 2023-03-19 20:05:13,67.198,Swimming,0.3,759.913,,,0,1,0,0,0,132.558,132.558,5.78,123,70,7.72
2023-03-19 20:14:48 - 2023-03-19 20:16:33,10.161,Swimming,0.05,105.238,,,0.227,0.455,0.318,0,0,128.636,144,6.304,21,70,7.61
2023-03-19 20:17:24 - 2023-03-19 20:19:26,13.605,Swimming,0.05,122.262,,,0,0.48,0.52,0,0,133.44,145,7.114,23,70,7.59
2023-03-21 14:24:21 - 2023-03-21 14:35:38,63.062,Swimming,0.3,676.31,,,0,1,0,0,0,130.147,130.147,6.077,115,73,11.23
2023-03-21 14:39:11 - 2023-03-21 14:50:43,65.609,Swimming,0.3,691.333,,,0,0,1,0,0,136.093,136.093,6.114,121,73,11.14
2023-03-28 13:43:46 - 2023-03-28 13:54:41,61.02,Swimming,0.3,655.223,,,0,1,0,0,0,127.651,127.651,6.039,115.98,43,13.03
2023-03-28 13:59:13 - 2023-03-28 14:11:04,67.903,Swimming,0.3,711.411,,,0,0,1,0,0,137.215,137.215,6.152,124.98,43,12.85
2023-03-29 11:12:41 - 2023-03-29 11:16:31,20.601,Swimming,0.1,230.395,,,0.25,0.75,0,0,0,117.143,127,5.817,39,62,12.82
2023-03-29 11:23:00 - 2023-03-29 11:34:28,62.341,Swimming,0.3,687.632,,,0,1,0,0,0,124.054,124.054,5.926,117,62,12.9
2023-04-02 08:47:00 - 2023-04-02 08:55:04,41.996,Swimming,0.2,484.435,,,0,1,0,0,0,119.945,119.945,5.707,76,,
2023-04-02 08:58:15 - 2023-04-02 09:09:02,61.921,Swimming,0.3,647.528,,,0,1,0,0,0,133.015,133.015,6.166,118,45,13.5
2023-04-04 10:40:48 - 2023-04-04 10:52:14,60.932,Swimming,0.3,686.37,,,0,1,0,0,0,120.946,120.946,5.788,115,89,13.01
2023-04-04 10:57:31 - 2023-04-04 11:08:48,63.831,Swimming,0.3,677.224,,,0,1,0,0,0,130.459,130.459,6.089,118,89,13.04
2023-04-05 19:52:09 - 2023-04-05 20:03:22,61.611,Swimming,0.3,673.221,,,0,1,0,0,0,120.404,120.404,5.909,112,,
2023-04-05 20:07:17 - 2023-04-05 20:18:26,59.328,Swimming,0.3,665.537,,,0,1,0,0,0,130.565,130.565,5.811,111.915,,
2023-04-10 16:25:01 - 2023-04-10 16:35:52,62.039,Swimming,0.3,651.002,,,0,1,0,0,0,124.894,124.894,6.154,115,67,15.82
2023-04-10 16:40:56 - 2023-04-10 16:52:08,64.133,Swimming,0.3,672.606,,,0,1,0,0,0,130.721,130.721,6.164,120.89,68,15.66
2023-04-12 20:40:53 - 2023-04-12 20:51:49,61.32,Swimming,0.3,655.628,,,0,1,0,0,0,126.601,126.601,6.082,113,61,10.54
2023-04-12 20:55:57 - 2023-04-12 21:06:55,61.465,Swimming,0.3,658.057,,,0,1,0,0,0,133.718,133.718,6.078,114,61,10.53
2023-04-12 21:12:25 - 2023-04-12 21:23:12,60.505,Swimming,0.3,646.49,,,0,0,1,0,0,136.059,136.059,6.094,115,61,11.04
2023-04-14 15:05:15 - 2023-04-14 15:15:38,59.207,Swimming,0.3,622.082,,,0,1,0,0,0,126.655,126.655,6.167,116,,
2023-04-14 15:20:18 - 2023-04-14 15:30:53,59.316,Swimming,0.3,634.976,,,0,1,0,0,0,134.726,134.726,6.072,113.884,79,14.7
2023-04-16 20:24:30 - 2023-04-16 20:30:08,24.883,Swimming,0.15,338.864,,,0,1,0,0,0,120.4,120.4,5.048,47,67,11.78
2023-04-16 20:33:50 - 2023-04-16 20:45:37,63.356,Swimming,0.3,707.363,,,0,1,0,0,0,130.369,130.369,5.879,113.889,68,11.73
2023-04-16 20:49:29 - 2023-04-16 21:00:26,61.646,Swimming,0.3,657.324,,,0,0,1,0,0,136.023,136.023,6.053,117.893,68,11.7
2023-04-18 16:05:12 - 2023-04-18 16:16:45,65.791,Swimming,0.3,692.813,,,0,1,0,0,0,125.002,125.002,6.111,123,,
2023-04-18 16:21:27 - 2023-04-18 16:32:58,61.241,Swimming,0.3,690.92,,,0,1,0,0,0,130.19,130.19,5.825,115.896,65,17.66
2023-04-21 09:20:16 - 2023-04-21 09:31:56,65.242,Swimming,0.3,699.854,,,0,1,0,0,0,122.689,122.689,6.053,120,32,14.34
2023-04-21 09:37:26 - 2023-04-21 09:49:27,63.829,Swimming,0.3,691.532,,,0,1,0,0,0,131.323,131.323,5.863,118.91,32,14.59
2023-04-23 14:06:07 - 2023-04-23 14:17:15,57.012,Swimming,0.3,667.342,,,0,1,0,0,0,123.345,123.345,5.66,107,49,14.01
2023-04-23 14:20:54 - 2023-04-23 14:31:53,60.71,Swimming,0.3,659.393,,,0,1,0,0,0,133.475,133.475,5.999,112,49,14.17
2023-04-23 14:34:00 - 2023-04-23 14:44:59,66.118,Swimming,0.3,659.071,,,0,0,1,0,0,137.262,137.262,6.377,121,48,14.32
2023-04-25 14:55:57 - 2023-04-25 15:07:43,62.35,Swimming,0.3,706.247,,,0,1,0,0,0,125.838,125.838,5.774,111.907,,
2023-04-25 15:12:16 - 2023-04-25 15:23:59,60.235,Swimming,0.3,702.665,,,0,1,0,0,0,132.127,132.127,5.654,110,60,14.48
2023-04-25 15:30:27 - 2023-04-25 15:41:43,61.196,Swimming,0.3,675.778,,,0,0,1,0,0,138.931,138.931,5.893,110,61,14.4
2023-04-27 14:54:41 - 2023-04-27 15:06:30,61.86,Swimming,0.3,708.758,,,0,1,0,0,0,117.195,117.195,5.723,113,,
2023-04-27 15:10:03 - 2023-04-27 15:21:03,58.793,Swimming,0.3,659.464,,,0,1,0,0,0,129.284,129.284,5.831,110,72,15.68
2023-04-27 15:27:02 - 2023-04-27 15:37:55,61.096,Swimming,0.3,652.902,,,0,0,1,0,0,136.508,136.508,6.05,115,72,15.59
2023-04-29 16:58:47 - 2023-04-29 17:11:22,61.248,Swimming,0.3,755.308,,,0,1,0,0,0,126.633,126.633,5.424,110,29,18.55
2023-04-29 17:15:59 - 2023-04-29 17:28:51,60.649,Swimming,0.3,772.846,,,0,1,0,0,0,134.092,134.092,5.292,107.908,30,18.34
2023-04-29 17:43:43 - 2023-04-29 17:55:51,64.419,Swimming,0.3,727.43,,,0,0,1,0,0,136.469,136.469,5.806,118,33,17.75
2023-05-20 16:17:29 - 2023-05-20 16:29:47,61.38,Swimming,0.3,738.478,,,0,1,0,0,0,132.059,132.059,5.508,109,,
2023-05-20 16:34:15 - 2023-05-20 16:46:36,66.203,Swimming,0.3,741.554,,,0,0,1,0,0,142.52,142.52,5.823,120,76,19.98
2023-05-21 18:58:23 - 2023-05-21 19:10:58,64.168,Swimming,0.3,754.422,,,0,1,0,0,0,128.78,128.78,5.638,110,54,19.04
2023-05-21 19:12:35 - 2023-05-21 19:15:59,21.874,Swimming,0.1,204.029,,,0.103,0.359,0.538,0,0,133.974,144,6.768,40,55,18.87
2023-05-21 19:26:21 - 2023-05-21 19:27:54,9.459,Swimming,0.05,92.541,,,0.214,0.143,0.643,0,0,132.929,152,6.497,19,,
2023-05-21 19:32:53 - 2023-05-21 19:34:23,8.62,Swimming,0.05,89.642,,,0.333,0.222,0.334,0.111,0,132,161,6.303,18.892,55,18.71
2023-05-22 19:26:04 - 2023-05-22 19:37:33,64.45,Swimming,0.3,688.69,,,0,1,0,0,0,126.429,126.429,6.034,117,58,18.87
2023-05-22 19:41:56 - 2023-05-22 19:53:28,62.259,Swimming,0.3,692.5,,,0,0,1,0,0,139.489,139.489,5.889,116,59,18.73
2023-05-23 13:45:06 - 2023-05-23 13:56:52,61.767,Swimming,0.3,706.026,,,0,1,0,0,0,133.918,133.918,5.734,116,,
2023-05-23 14:01:20 - 2023-05-23 14:13:17,65.838,Swimming,0.3,716.663,,,0,0,1,0,0,142.798,142.798,5.958,119,,
2023-05-26 15:20:28 - 2023-05-26 15:32:03,61.134,Swimming,0.3,695.217,,,0,1,0,0,0,121.83,121.83,5.771,112,,
2023-05-26 15:35:51 - 2023-05-26 15:48:00,64.522,Swimming,0.3,729.722,,,0,1,0,0,0,129.31,129.31,5.853,116,82,20.09
2023-05-28 19:24:51 - 2023-05-28 19:36:45,59.773,Swimming,0.3,714.36,,,0,1,0,0,0,128.062,128.062,5.544,111,,
2023-05-28 19:44:07 - 2023-05-28 19:56:42,60.898,Swimming,0.3,755.39,,,0,0,1,0,0,135.242,135.242,5.427,116,89,19.37
2023-05-30 19:51:16 - 2023-05-30 20:02:40,58.678,Swimming,0.3,683.296,,,0,1,0,0,0,128.425,128.425,5.669,110,65,20.59
2023-05-30 20:07:28 - 2023-05-30 20:19:10,62.769,Swimming,0.3,701.82,,,0,0,1,0,0,136.004,136.004,5.837,116.941,66,20.28
2023-05-30 20:21:13 - 2023-05-30 20:32:50,63.01,Swimming,0.3,697.214,,,0,0,1,0,0,140.481,140.481,5.876,120,67,20.06
2023-06-02 16:45:57 - 2023-06-02 16:57:29,63.396,Swimming,0.3,691.852,,,0,1,0,0,0,127.426,127.426,5.983,119,63,23.45
2023-06-04 20:43:10 - 2023-06-04 20:55:18,62.263,Swimming,0.3,727.617,,,0,1,0,0,0,126.718,126.718,5.642,116.889,69,20.09
2023-06-04 20:59:22 - 2023-06-04 21:11:13,61.892,Swimming,0.3,710.616,,,0,0,1,0,0,138.148,138.148,5.71,119,68,19.86
